ETF,start_date,end_date,duration,event,start_drawdown_depth,roll_vol_21,roll_mean_21
SPY,2015-01-05,2015-01-08,3,1,0.018059503233832406,,
SPY,2015-01-09,2015-01-22,8,1,0.00801328486960593,,
SPY,2015-01-23,2015-02-05,9,1,0.005482905591303162,,
SPY,2015-02-06,2015-02-10,2,1,0.0027655905047046236,0.01018564321690519,0.0007565665750798393
SPY,2015-02-19,2015-02-20,1,1,0.0007140229083591977,0.008721390711595191,0.0018308275726104512
SPY,2015-02-23,2015-02-24,1,1,0.00014191440313421808,0.008232969263922665,0.0011662690196832604
SPY,2015-02-25,2015-03-02,3,1,0.0008496313450724601,0.008109999230817008,0.001411281280952026
SPY,2015-03-03,2015-04-23,36,1,0.004104352880826009,0.005852950600166963,0.0027077657181129137
SPY,2015-04-27,2015-05-14,13,1,0.004157766943357141,0.0056984151000826055,0.0012591046566297166
SPY,2015-05-19,2015-05-21,2,1,0.0003283059653211115,0.006259446025280104,0.0007161922179154212
SPY,2015-05-22,2015-07-17,38,1,0.0023886895101287494,0.006219898370838989,0.00041089590991999427
SPY,2015-07-21,2016-04-18,187,1,0.003951472232101809,0.008122845151998596,0.00021187059229541336
SPY,2016-04-21,2016-05-27,26,1,0.005378140628880173,0.006491201866491264,0.0010157046405006953
SPY,2016-05-31,2016-06-01,1,1,0.001902461231265733,0.006929180115777018,0.0008032694934055902
SPY,2016-06-03,2016-06-06,1,1,0.0029872617301116323,0.006305321881992437,0.0012086222174177638
SPY,2016-06-09,2016-07-08,20,1,0.00136530293673721,0.005854559220533636,0.000822109524046369
SPY,2016-07-13,2016-07-14,1,1,0.00013931406277378622,0.012278592435823235,0.0017025493490079426
SPY,2016-07-15,2016-07-18,1,1,0.001341947081550319,0.012275330597652297,0.0020639282093319546
SPY,2016-07-19,2016-07-20,1,1,0.0010167526826501455,0.012224666112097111,0.0021790582530315595
SPY,2016-07-21,2016-07-22,1,1,0.00377707395450197,0.012259981789477407,0.0017560171996932133
SPY,2016-07-25,2016-08-05,9,1,0.0027156218825926566,0.012026406023050409,0.0013012466874207393
SPY,2016-08-08,2016-08-09,1,1,0.0005959306217850076,0.0035952622877615703,0.0011941139137105652
SPY,2016-08-10,2016-08-11,1,1,0.0024749505636365264,0.0033378610729477894,0.0005922497114504882
SPY,2016-08-12,2016-08-15,1,1,0.0008686447780356999,0.003285105288363047,0.0005128282372742065
