ETF,start_date,end_date,duration,event,avg_return,volatility
SPY,2015-01-02,2025-12-31,4016,0,0.0005011398853744733,0.011232410506309808
QQQ,2015-01-02,2025-12-31,4016,0,0.0006759111452809257,0.01386762525448251
GLD,2015-01-02,2025-12-31,4016,0,0.0004503785730235513,0.009295128897119084
VOO,2015-01-02,2025-12-31,4016,0,0.0005038376325097515,0.011282987596171065
