ETF,start_date,end_date,duration,event,VaR_95_start,roll_vol_21,roll_mean_21,start_loss,breach_loss
SPY,2015-04-06,2015-06-29,59,1,0.014075837248838204,0.0091376991992544,-0.0003867230683550362,-0.0067108648978049384,0.02119316760339984
SPY,2015-04-07,2015-06-29,58,1,0.013241366709637827,0.008599230973479451,0.00016157692035712572,0.002650129355664212,0.02119316760339984
SPY,2015-04-08,2015-06-29,57,1,0.013241366709637827,0.008583156599363045,0.0001251496254678447,-0.0033714100743948536,0.02119316760339984
SPY,2015-04-09,2015-06-29,56,1,0.013241366709637827,0.0077448918593407655,0.001114138868410523,-0.004413739916545449,0.02119316760339984
SPY,2015-04-10,2015-06-29,55,1,0.013241366709637827,0.007757420677780978,0.00148495576512799,-0.005442542733349947,0.02119316760339984
SPY,2015-04-13,2015-06-29,54,1,0.013241366709637827,0.007421062942031471,0.0006674606495909385,0.004533597459733887,0.02119316760339984
SPY,2015-04-14,2015-06-29,53,1,0.013241366709637827,0.007257428955868217,0.0010513933562374383,-0.0019116515606738874,0.02119316760339984
SPY,2015-04-15,2015-06-29,52,1,0.013241366709637827,0.006753180612747859,0.0006325640198628656,-0.004476666860891504,0.02119316760339984
SPY,2015-04-16,2015-06-29,51,1,0.013241366709637827,0.00670662244897042,0.0007607736958290477,0.0002846550668969498,0.02119316760339984
SPY,2015-04-17,2015-06-29,50,1,0.013241366709637827,0.006708569112057917,-0.00035923952551632525,0.011570474863947623,0.02119316760339984
SPY,2015-04-20,2015-06-29,49,1,0.013241366709637827,0.006938469856751797,0.0002915699802109528,-0.009095314784295629,0.02119316760339984
SPY,2015-04-21,2015-06-29,48,1,0.013241366709637827,0.006663779704679763,-0.00018367182595483108,0.0011922273376881293,0.02119316760339984
SPY,2015-04-22,2015-06-29,47,1,0.013241366709637827,0.006740284429800499,0.00014263226822234344,-0.004902194633981722,0.02119316760339984
SPY,2015-04-23,2015-06-29,46,1,0.013241366709637827,0.006624612534403832,0.0005306352214979663,-0.0025133510616657103,0.02119316760339984
SPY,2015-04-24,2015-06-29,45,1,0.013241366709637827,0.005626381514583202,0.0013439809658537265,-0.00231752290975914,0.02119316760339984
SPY,2015-04-27,2015-06-29,44,1,0.013241366709637827,0.0056984151000826055,0.0012591046566297166,0.004166434489769464,0.02119316760339984
SPY,2015-04-28,2015-06-29,43,1,0.012881849853372125,0.0057096876298653705,0.0013013295036991173,-0.0031738432037148943,0.02119316760339984
SPY,2015-04-29,2015-06-29,42,1,0.012546402362805149,0.00525210892895463,0.0005275542016816109,0.004123364069713217,0.02119316760339984
SPY,2015-04-30,2015-06-29,41,1,0.012546402362805149,0.005372805012700184,0.0004660029850033591,0.010070673965144451,0.02119316760339984
SPY,2015-05-01,2015-05-05,2,1,0.011420494774067303,0.005735587965125494,0.0011481897727383724,-0.010783095057807952,0.01151798617403893
